"Topic Title","Topic Description","Topic Number",Phase,Program,Agency,Branch,"Close Date","Release Date","Open Date","Solicitation Agency URL","Solicitation Status","Solicitation Year",SBIRTopicLink
"Real-time Zero Trust Data and Access Control for Combat Systems","The Navy relies on combat system data for critical decision-making in wartime. This data must be secure to prevent unauthorized access and ensure its integrity. Current security measures are struggling to keep up with evolving threats, making it difficult to guarantee data is only seen by authorized personnel. This vulnerability compromises tactical advantages and risks operational effectiveness. Traditional security approaches are often too slow and inflexible for the dynamic nature of modern naval operations. An answer to this need is not commercially available.  The Navy seeks an adaptive ""Zero Trust"" data control system. Zero Trust is a security strategy for modern multi-cloud networks. Instead of focusing on the network perimeter, a Zero Trust security model enforces security policies for each individual connection between users, devices, applications and data.  Zero Trust operates on the principle of “never trust, always verify” rather than granting implicit trust to all users inside a network. This granular security approach helps address the cybersecurity risks posed by remote workers, hybrid cloud services, personally-owned devices, and other elements of today’s networks. This goes beyond simply having usernames and passwords. The Navy needs to verify every data access request in near real time, regardless of the user's location or device.  The sought solution requires leveraging both Government and commercial technologies: Advanced Authentication - moving beyond passwords to biometrics, multi-factor authentication, and behavioral analysis; Micro-segmentation - dividing data into smaller highly-controlled compartments to limit the impact of any potential breach (think of it like having separate locked filing cabinets for different types of sensitive information); Artificial Intelligence (AI) and Machine Learning (ML) - detecting anomalous behavior and automatically adapting security measures, which could involve analyzing user access patterns to identify potential threats in real-time; and Blockchain Technology - exploring its potential for secure data logging and access control, ensuring an immutable record of all data transactions.  This Zero Trust system must ensure that only authorized personnel can access sensitive data, regardless of location or device type, which is crucial for maintaining a tactical advantage in future conflicts where information superiority will be paramount. Existing, new, and emerging technologies will be crucial in building this system.  While promising technologies exist, they are not currently integrated or robust enough to meet the Navy's stringent security requirements. The new system must address real-time performance and must ensure access verification suitable for fast-paced combat scenarios. The Navy requires near-instantaneous system access to effectively respond to dynamic and evolving threats.  Furthermore, scalability and integration with complex Navy networks and systems must be ensured, along with system resilience to cyberattacks and the ability to function in degraded environments (i.e., situations where critical infrastructure or communication links may be compromised due to enemy action, natural disasters, or other disruptive events). The solution must develop faster (reduce average authentication time from 15 seconds to 5 seconds) and more efficient authentication methods; implement micro-segmentation techniques to reduce the attack surface by dividing a network into smaller isolated security segments; integrate AI/ML for real-time threat detection and response; and explore and adapt blockchain technology for secure data management. The Navy aims to achieve significant improvements compared to existing systems, including reducing access latency by at least 50%, reducing the risk of unauthorized data access by at least 90%, and streamlining data management processes to reduce administrative overhead by at least 25%.  The developed technology will be evaluated against National Institute of Standards and Technology (NIST) standards for compartmented data control, cybersecurity and data integrity (e.g., NIST SP 800-207, Zero Trust Architecture).  The Navy requires the development and integration of an adaptive ""Zero Trust"" data control system to secure critical combat data. This system must leverage advanced authentication, micro-segmentation, and AI/ML to provide near real-time, verified access for authorized personnel across any device or location. Key performance requirements include reducing authentication time to under five seconds, decreasing the risk of unauthorized data access by at least 90%, and ensuring the system is scalable, resilient in degraded environments, and compliant with NIST standards.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV059,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12755
"Predictive Movement for Object Oriented Tracking","Maritime Targeting Cell is a high-tech “fusion” node, which receives massive amounts of data from diverse sources (e.g., satellites, sensors), making it difficult to process and interpret effectively. Current tracking relies heavily on manual methods, which can overwhelm staff and lead to inefficient resource allocation. They are essentially trying to find the proverbial needle in a haystack. Without an automated system, it is difficult to prioritize which objects require immediate attention, which can lead to critical threats being overlooked.  The Maritime Targeting Cell has a need to increase readiness for potential conflicts with adversaries. There are currently a large number of objects that need to be tracked, both above and below the surface of the ocean, across the globe. These objects include U.S. Navy Ships, other U.S. Government vessels, allied and partner Naval vessels, commercial vessels, adversary vessels, U.S. and other nations’ submarines, underwater drones and sensors, and aircraft. The Navy needs to utilize efficient tracking methods for large numbers of objects so future state forecasting, pattern of life, and change detection can enable analysts to investigate targets, maintain track custody, and assign priority to objects detected.  As more sensors come online, the data volume will only increase, exacerbating existing problems. The current manual processes simply cannot scale and as the Navy’s specific requirements are unique and complex, off-the-shelf tracking software is insufficient. Currently no existing commercial technology can meet this need.  The Navy envisions an AI-driven solution that aims to address these challenges by automating key aspects of the tracking process.  The solution must meet the following parameters: 1. It must use AI-powered tracking algorithms to process sensor data, identify and track objects, and predict their future movements. 2. It must use Automated Prioritization in which AI is used for activity prediction and Pattern of Life (POL) analysis to assign a priority level to each tracked object, allowing analysts to focus on the most important targets first. 3. It must use Predictive Forecasting and Change Detection to analyze historical data and current behavior and predict future object states and quickly identify deviations from expected patterns, enhancing situational awareness. 4. It must contain Hierarchical Target Management to allow the system to maintain track custody of all objects, but present them to analysts in a prioritized hierarchy, allowing for efficient resource allocation. 5. It will need to have Enhanced Scalability so as new sensors are added, the AI can seamlessly integrate the additional data without requiring a proportional increase in manpower. 6. It will need to have Improved Response Time through automating analysis and prioritization to accelerate the decision-making process, enabling faster responses to developing situations.  In essence, the proposed AI solution aims to transform the Navy from a reactive overwhelmed center to a proactive highly efficient hub for maritime domain awareness, which will empower the Navy to better manage the vast amount of data it collects and make more informed decisions, ultimately enhancing national security.  Evaluation metrics will be used to quantify the system’s performance, including accuracy, precision, recall, F1-score (a balanced measure of precision and recall), processing time, false positive rate, and false negative rate. These metrics will measure how often the system correctly identifies and tracks objects, the proportion of correctly identified objects out of all identified and all actual objects, a balance of precision and recall, the data processing time, and the rates of incorrect object identification and missed object identification.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV061,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12757
"High Spectral/Spatial/Temporal Resolution MWIR Hyperspectral Imager","Hyperspectral MWIR infrared imagers are required to characterize signatures of military targets, both cooperative and hostile.  The specific need is the characterization of missile plume and hardbody signatures in static and free flight tests.  This threat characterization supports the design and testing of missile warning and countermeasure systems.  The hyperspectral imagery data would also be useful in temperature/emissivity determination of hypersonic thermal protection systems during ground tests in arc-heated facilities.The focal plane of the imager should consist of at least 100 x 100 spatial pixels (threshold) with an objective of 256 x 256 spatial pixels or greater.   Full-frame hyperspectral cube data rate should be at least 60 cubes per second (threshold) with an objective of 120 cubes per second or faster.  The spectral resolution should be 40 nm (threshold) with an objective of 30 nm or better.  The detector pixel pitch should be no bigger than 30 mm, with an objective of 15 mm.  The detector well depth should be at least 30 Me-.  The field of view of the hyperspectral imager shall be adjustable through the use of optics/lenses that do not impact the basic functionality.  Snapshot data acquisition is preferred over scanning mode.   ",DAF26BZ03-NV015,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12762
"Safe Falling and Failing For Humanoid Robots","Within the sector of humanoid robotics, there has been significant progress in technological maturity, opening their applicability to Air Force operations, such as maintenance activities, hazardous environment exploration, and assistance with physically demanding tasks. Humanoid robots have the capability to access areas and support operations traditionally done by human personnel, focusing on tasks that have posed significant challenges for their repetitive or strenuous nature. Noting that these tasks are often adjacent to those which are more suited to the adaptability of human personnel, promoting safe and effective human-robot collaboration environments allows for improved performance through careful consideration of workspace design and task allocation to minimize potential hazards.Establishing effective coordination of humanoid robots within environments where they are to perform near human personnel on complex tasks remains a hurdle to developing control strategies that ensure improvements in personnel safety and overall productivity. Of significant note is the inherent instability and susceptibility to falling of humanoid robots, which pose a significant challenge to their widespread deployment. Despite the fact that falls can lead to costly repairs, operational downtime, and even complete robot failure, current fall mitigation strategies are often limited in their effectiveness and can significantly hinder robot agility and performance.This project seeks to develop a comprehensive safe falling system that allows humanoid robots to autonomously detect imminent falls, react in real-time to minimize impact forces, and recover gracefully. This system should include software algorithms for fall detection and recovery strategies, and/or hardware considerations for mitigating damage and ensuring safe landing. The system should be robust enough to handle falls from various heights and orientations, while remaining lightweight and minimally intrusive to the robot's design and performance during regular operation. Additionally, the system should be adaptable for different humanoid applications and specifications.",DAF26BZ03-DV019,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12766
"Humanoid Robotic Fleet Management","Within Air Force depots for aircraft maintenance and sustainment, there are many workloads that present significant challenges for human personnel due to reasons including high physical demand, repetitive tasks, and unfriendly environmental conditions. In the endeavor of optimizing manufacturing and sustainment operations, robots have increasingly been integrated, serving to separate human personnel from potentially hazardous activities and creating opportunities for process improvement. The robots that have been determined to be most versatile in industrial settings as support to human personnel are those designed to operate similarly, in a humanoid manner.As the potential of humanoid robots for widespread deployment in various applications is growing in accordance with their increasing sophistication and capability, so is the cruciality of managing and coordinating large fleets of these robots effectively for the maximization of their utility and the assurance to complete tasks successfully. While implementing a fleet management system allows for the dynamic allocation of robots to specific maintenance tasks based on real-time demand and priority, resource utilization optimization, and aircraft downtime minimization, current robot management systems often lack the scalability, flexibility, and robustness required for complex, real-world deployments involving humanoid robots beyond material handling operational scenarios. Current research emphasizes the integration of advanced sensing capabilities, such as computer vision and tactile feedback, into humanoid robots to enable them to perform intricate maintenance tasks, such as component inspection and repair, with increasing autonomy and precision to support a shift in robot fleet management towards decentralized control architectures that allow humanoid robots to adapt to changing task priorities and collaborate more effectively with human personnel. This project seeks to develop a humanoid fleet management system that provides a centralized platform for monitoring, controlling, and coordinating the activities of multiple robots across a variety of manufacturing and sustainment operations. The system should enable autonomous task allocation based on robot capabilities and availability, optimize resource utilization, allow real-time monitoring and control, facilitate seamless communication between robots and human operators, and adapt to dynamic changes in the operational environment. The system should be scalable to fleets of varying sizes and adaptable to different humanoids, other robot platforms, and operational scenarios.",DAF26BZ03-DV020,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12767
"Field Speciation of Ultrafine to Coarse Particulate","This SBIR topic aligns with the DHA Environmental Exposures Toxic Injury Prevention Roadmap, specifically focusing on enhanced tools and assessment methodology for acute and chronic exposure to military-relevant chemicals, materials, and hazards.  The DoW requires the capability to comprehensively characterize particulate composition in situ in the field to replace current methods which require samples to be collected and sent to a reach back laboratory. Particulate exposure is correlated with exacerbating asthma, cardiopulmonary disease and systemic effects (1-2). Chemical composition is important to correlate exposure with health impact (1-2). Particulates of interest for monitoring in the DoW are broad and include those generated from both environmental and occupational sources. The primary chemical classes of interest include biological, carbonaceous (i.e. soot) and metals. Particulates are generated at relatively high concentrations from maintenance processes and high intensity processes such as weapons firing, engine emissions and fires. Particulates generated from maintenance processes can be present in a broad size range depending on the nature of the process, while the peak size of particulates generated during high intensity processes are often less than 0.1 microns (100 nanometers) (3). In outdoor environments, particulates pick up additional contaminants, such as biological materials (4). There are methods available to collect particulates and submit for laboratory analysis, but methods to characterize particulate composition on-site in field environments are limited in the ability to detect all class of interest (carbonaceous, metals, biologicals) and all size fractions (ultrafine, fine, coarse).  Developing a comprehensive detection capability for ultrafine particulates is a critical investment in the long-term readiness and well-being of the force. Standard monitoring equipment often fails to detect submicron particles, which pose a medical threat due to their ability to penetrate the respiratory and cardiovascular systems.  Service members operating in environments such as burn pits, flightlines/flight decks, or industrial maintenance facilities may be exposed to hazardous concentrations without warning, leading to systemic inflammation, cardiovascular stress, and respiratory toxicity. Proactive, quantitative surveillance provides data to allow commanders to make informed decisions to protect the force, enables preventative medicine personnel to mitigate hazards, and creates a permanent exposure data health record essential for future service member and veteran health care.  The novel materiel solution desired is a field portable capability to characterize the chemical composition of ultrafine, fine and coarse particulate ranging from 0.01 microns (10 nanometers) to 10 microns. The priority is for the device to differentiate between carbonaceous, metal, water vapor and biological particulate. However, additional speciation of elemental versus organic carbon, specific metals, minerals and biologicals is also desired. The sensitivity of the device must be low enough to be compatible with field relevant concentrations (size-dependent, available in literature referenced). The response from sample collection to reporting must be real-time or near real-time (< 10 minutes). The device must integrate a simple user-interface and calibration capability, require minimal input from the user and produce data output which can be easily interpreted. The device must also be ruggedized to meet requirements in MIL-STD-810H (5). Reliance on consumable materials such as working fluids should be minimized. Both onboard and wireless data transmission capability must be integrated into the device. Device cost threshold should target <$50K per unit to ensure practicable transition.",DHA26BZ03-NV006,BOTH,SBIR,DOD,DHA,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12776
"Next-Generation Non-Lithium Battery Technology for Safe, Extreme-Environment, High-Performance Resilient Military Logistics and Field Operations","DLA’s current battery portfolio, including the widely fielded BB-2590/U rechargeable battery (NSN: 6140-01-490-4316), relies heavily on lithium-ion chemistries with significant exposure to foreign (including Chinese-origin) supply chains. Section 154 of the FY2024 NDAA restricts DoD procurement from certain foreign sources beginning in October 2027, creating an urgent need for compliant alternatives. Beyond supply chain risk, lithium-based batteries present operational challenges including hazardous material classification for transport, thermal runaway risks, limited long-duration storage performance, and handling complexity in forward-deployed environments. DLA requires a non-lithium battery solution that can support BB-2590/U-class applications while improving: • Safety: Reduced or eliminated thermal runaway risk • Transportability: Less restrictive hazardous material classification and simplified logistics handling • Storage Readiness: Low self-discharge and long-duration storage (≥12–24 months) • Operational Performance: Reliable function across -30°C to +60°C environments • Durability: Resistance to shock, vibration, and field conditions • Supply Chain: Fully domestic or NDAA-compliant sourcing Solutions may not need to exceed lithium-ion performance in all areas but must demonstrate clear operational advantages in safety, logistics, or sustainment.  Performance Targets: Proposed solutions should aim to meet or approach: • Energy Density: ≥150 Wh/kg (threshold), ≥200 Wh/kg (objective) • Cycle Life: ≥500 cycles to 80% capacity • Storage Life: ≥12 months with minimal degradation • Operating Temperature: -30°C to +60°C • Safety: No thermal runaway under standard abuse conditions • Transport: Reduced hazardous classification compared to Li-ion (if applicable) • MIL-STD environmental qualification testing covering temperature, vibration, and mechanical shock • Preliminary safety qualification aligned with MIL-PRF-32383/3 • Validated domestic bill of materials demonstrating NDAA-compliant manufacturability • Commercialization plan and domestic manufacturing roadmap with cost-per-unit projections at production volume  Scope Phase I (6 months, up to $100K) Focus on cell-level feasibility and trade-space validation: • Demonstrate a non-lithium electrochemical system with initial performance data • Characterize: o Energy density (Wh/kg, Wh/L) o Cycle life projections o Voltage profile and discharge characteristics o Temperature performance • Conduct preliminary safety testing, including abuse tolerance • Perform storage/self-discharge testing • Provide: o Concept for integration into BB-2590/U-class form factor o Initial domestic supply chain assessment o Phase II development plan  Phase II (18 months, up to $1M) Focus on prototype demonstration and transition readiness: • Develop a prototype battery module or pack aligned with BB-2590/U electrical requirements • Conduct: o Environmental testing (temperature, shock, vibration) o Extended cycle and storage validation o Safety characterization aligned with military battery standards • Deliver: o Prototype system demonstration o Validated domestic Bill of Materials o Manufacturing feasibility and cost model o Transition plan including pathway to qualification and DLA procurement",DLA26BZ03-NV013,BOTH,SBIR,DOD,DLA,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12780
"Long-Range Listening Device","Counterintelligence and Human Intelligence (CI/HUMINT) Marines perform intelligence operations in support of Marine Air-Ground Task Force (MAGTF) operations, with a focus on the collection of information and identification of threats posed by hostile organizations, espionage, sabotage, subversion, or terrorism. They require organic, portable capabilities to aid in the collection of information for intelligence reporting to decision makers. The capability to surveil sounds from a distance enhances their toolset. While long-range listening devices exist, innovation is required to meet the Marine Corps' portability, range, target area, accuracy, and recording requirements.  This SBIR topic seeks a small device that can accurately identify and record sounds at a distance.  Requirements for the Long-Range Listening Device - Capable of effectively identifying and recording sounds at a distance of 200m (Threshold), while maintaining a minimal terminal target area of no more than 2 meters (Threshold).  - Capture and deliver sufficient recorded sound quality and target precision (at range) for a human listener to reliably differentiate voice, mechanical noises, and natural sounds such as wind and water. - Small enough for an individual person to transport (50lbs or less) and set up from transit case to operational within one hour. - Non-military in appearance (preferred). - Able to operate by battery power with a minimum continuous recording time of 24 hours.",DON26BZ03-NV054,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12750
"Multi-Band Approach to Target Discovery","Commercial Synthetic Aperture Radar (SAR) providers prioritize high-resolution imagery for applications demanding detailed ground sampling, primarily done in the X-band. This focus caters to markets like agriculture, urban planning, and disaster response. The Navy has a unique need for wide-area maritime surveillance, particularly in the open ocean, for tasks like search and rescue, tracking surface vessels, and monitoring illegal activities. The Navy also has urgent operational requirements for improved maritime domain awareness and more efficient resource allocation. Currently other methods are being used to perform these tasks; however, utilizing SAR would increase capabilities at a lower cost while providing better services for accomplishing the desired tracking methods. The Navy seeks a solution to utilize advancements in commercial space technology by utilizing dual-band SAR. Currently there is not a way for the Navy to utilize these services.  Dual-band approaches offer substantial benefits across various sectors. Dual-band routers and mobile devices can operate on both 2.4 GHz and 5 GHz frequencies, providing greater bandwidth and network capacity within telecommunications. This technology allows devices to switch to less congested frequencies, improving network performance and reliability in areas with high Wi-Fi density. Dual-band approaches can be used to monitor various environmental parameters, such as soil moisture, snow cover, and water quality, allowing for more accurate land cover classification and identification of specific features like vegetation types or mineral deposits. Within the medical field, dual-band imaging techniques can provide more detailed information about tissue composition and bone density, improving diagnostic capabilities for conditions like osteoporosis. Additionally, this approach can be used to enhance target detection and identification by combining data from different frequencies.  The solution sought will add to the current capabilities of searching, tracking, and monitoring to include dual-band SAR systems.  The system will incorporate a secondary band like S-band or C-band alongside the existing X-band capabilities. The system will increase area coverage and use lower frequency bands (S-band or C-band) that have wider beamwidths, enabling larger swaths of ocean to be imaged in a single pass. The increase in area coverage provided by a multi-band approach is not directly quantifiable with a single number as it is highly dependent on the specific bands used, the sensor technology, the platform, and the application. Rather than a percentage increase, it is more accurate to discuss the types of coverage improvements that multi-band approaches offer, such as wider swath width, increased temporal coverage, and coverage in different domains. The benefits will be realized through the synergistic combination of different bands, each contributing unique information and capabilities.  The system must also have improved target detection through utilizing multiple frequencies that will allow for comprehensive target characterization. Different bands interact differently with various materials and sea states, enabling better discrimination among vessels, ice, and ocean features.  The dual-band SAR will provide enhanced environmental monitoring by providing valuable data for oceanographic applications, such as wave height and direction estimation, current monitoring, oil spill detection, flood monitoring, land cover classification, and sea ice monitoring.  Dual-Band performance validation will be accomplished through:  1. Frequency Band Coverage: Verification of operation within the specified frequency bands. Data will include spectral analysis in each band.  2. Simultaneous Operation: Demonstration of concurrent and independent operation in both frequency bands. Data will include recordings of simultaneous signal reception and processing in each band. Interference Mitigation: Assessment of the system's ability to mitigate interference between the two bands and from external sources. Data will include measurements under various interference conditions in each band.  Area Coverage Enhancement will be shown through:  1. Field of View (FOV) Measurement: Quantification of the increased FOV achieved by the dual-band approach compared to a single-band baseline system. Data will include geometric measurements and visualizations of the detectable area.  2. Detection Range: Determination of the maximum detection range in each band and in dual-band mode. Data will include plots of detection probability versus range for various target types and environmental conditions.  3. Target Tracking Accuracy: Evaluation of the system's ability to accurately track targets within the expanded FOV. Data will include measurements of target position error and tracking stability.  4. Open Ocean Search and Tracking Performance will be shown through: Simulated Search Scenarios: Testing of the prototype in simulated open ocean environments with representative targets and clutter. Data will include detection and tracking performance metrics for various scenarios.  5. Environmental Impact Assessment: Evaluation of the system's performance under varying environmental conditions. Data will include performance metrics under different environmental parameters.  Prototype Robustness and Reliability will be shown through:  1. System Stability: Assessment of the system's stability and reliability during extended operation. Data will include continuous operation logs and failure rate analysis.  2. Power Consumption: Measurement of the system's power consumption under various operating conditions.  Navy Requirements Compliance will be shown through:  1. Specific Performance Metrics: Testing against specific Navy-defined performance metrics. Data will include direct measurements and comparisons to the required values. Performance specifications will be provided during Phase I.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV055,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12751
"Gun Weapon Systems Ammunition Handling and Controls Modernization","A component of both terminal defense and land-attack missions, a MK 34 GWS with the increased reliability and firing rates are expected to increase capability and survivability during missions in contested areas with large (10+) threat swarms. In these scenarios, the effective firing of ammunition to engage targets is essential due to relatively low-cost and on-hand inventory of shipboard ammunition (versus missiles).  Major Caliber Naval Gun Weapon Systems currently cycles conventional ammunition from storage conditions up through firing by way of circa-1960s electro-hydraulic power technology. With a high power-to-weight ratio and simple control circuits, this technology (militarized from the chemical and food machinery industry of the day) transformed ammunition handling systems from a manual to a semi-automated process aboard Navy ships.  The technology is old and has limitations on guided ammunition handling that include high maintenance requirements, obsolescence, complex troubleshooting, exposure to petroleum products, high intensity noise, and sustained operation limited by operator “in-the-loop” actions. There is currently no commercial technology that could solve the need for gun weapon systems ammunition handling and controls modernization for the Navy.     The Navy seeks a solution to modify existing fielded MK 34 Major Caliber Gun Weapon System guns (utilizing the MK 45 MOD 2 & 4 5-Inch Gun System) with automated ammunition loading systems that provide higher reliability (i.e., operational availability of .9 or greater), increased sustained loading (i.e., firing) rate (i.e., greater than 12 rounds per minute), and/or reduced exposure to occupational exposure to petroleum-based hydraulic fluids.   Potential innovations may incorporate electric motor drive technology, industrial control systems or testing system technologies, human-assist technologies, or process optimization. The solution shall be restricted to the MK 45 Gun System Size, Weight, and Power (SWaP) profile, requiring no modification to the platform (i.e., ship). All solutions shall utilize Model-Based Engineering (MBE) design principles.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV057,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12753
